0.45mm_10steps_500ms_1.csv,0.45mm_10steps_500ms_2.csv,0.45mm_40steps_300ms_1.csv,0.45mm_40steps_300ms_2.csv,0.45mm_480steps_300ms.csv,0.45mm_80steps_300ms.csv,single_step_40_300ms_1.csv,single_step_40_300ms_2.csv,triple_step_40_300ms_1.csv,triple_step_40_300ms_2.csv,triple_step_40_300ms_3.csv
11.411,10.865,403.056,70.443,100.944,462.085,23.674,23.711,10.774,10.752,10.752
11.411,10.865,403.056,70.443,100.942,462.087,23.674,23.711,10.775,10.752,10.752
11.411,10.865,403.055,70.443,100.942,462.089,23.674,23.71,10.775,10.752,10.752
11.411,10.865,403.055,70.443,100.941,462.09,23.675,23.71,10.775,10.752,10.752
11.411,10.865,403.056,70.444,100.94,462.088,23.675,23.71,10.774,10.752,10.752
11.411,10.865,403.055,70.444,100.94,462.088,23.674,23.71,10.774,10.753,10.753
11.411,10.864,403.055,70.444,100.94,462.089,23.675,23.71,10.774,10.752,10.752
11.411,10.864,403.055,70.444,100.938,462.095,23.675,23.71,10.774,10.752,10.752
11.411,10.864,403.053,70.444,100.938,462.104,23.675,23.71,10.774,10.753,10.753
11.412,10.865,403.053,70.444,100.939,462.116,23.675,23.71,10.774,10.752,10.752
11.412,10.865,403.053,70.443,100.938,462.123,23.675,23.71,10.774,10.752,10.752
11.412,10.865,403.052,70.443,100.937,462.12,23.675,23.71,10.774,10.752,10.752
11.412,10.865,403.052,70.442,100.937,462.116,23.675,23.71,10.774,10.752,10.752
11.412,10.865,403.052,70.442,100.936,462.109,23.675,23.711,10.775,10.752,10.752
11.412,10.865,403.053,70.442,100.935,462.101,23.675,23.71,10.775,10.752,10.752
11.411,10.865,403.053,70.442,100.935,462.087,23.675,23.71,10.775,10.752,10.752
11.411,10.865,403.054,70.443,100.934,462.072,23.675,23.71,10.775,10.752,10.752
11.411,10.865,403.054,70.443,100.933,462.053,23.675,23.711,10.775,10.752,10.752
11.411,10.865,403.054,70.443,100.933,462.039,23.675,23.71,10.775,10.753,10.753
11.411,10.865,403.054,70.443,100.932,462.036,23.675,23.711,10.775,10.753,10.753
11.411,10.865,403.053,70.443,100.932,462.035,23.675,23.711,10.774,10.753,10.753
11.411,10.865,403.053,70.443,100.932,462.034,23.675,23.711,10.775,10.752,10.752
11.411,10.864,403.052,70.442,100.931,462.035,23.675,23.711,10.775,10.752,10.752
11.411,10.864,403.052,70.442,100.931,462.034,23.675,23.711,10.775,10.752,10.752
11.411,10.864,403.051,70.443,100.93,462.033,23.675,23.711,10.775,10.752,10.752
11.411,10.864,403.05,70.474,100.93,462.033,23.675,23.711,10.775,10.752,10.752
11.411,10.864,403.049,70.555,100.93,462.033,23.675,23.711,10.775,10.752,10.752
11.411,10.864,403.049,70.625,100.929,462.032,23.675,23.711,10.775,10.752,10.752
11.411,10.865,403.049,70.707,100.928,462.032,23.675,23.711,10.775,10.753,10.753
11.411,10.865,403.048,70.884,100.928,462.031,23.675,23.711,10.775,10.753,10.753
11.411,10.865,403.048,71.124,100.927,462.03,23.675,23.711,10.775,10.753,10.753
11.411,10.865,403.048,71.395,100.926,462.031,23.675,23.711,10.775,10.753,10.753
11.411,10.865,403.048,71.666,100.926,462.031,23.675,23.711,10.775,10.753,10.753
11.411,10.866,403.048,71.953,100.925,462.031,23.675,23.711,10.775,10.753,10.753
11.411,10.866,403.048,72.267,100.924,462.032,23.675,23.711,10.775,10.753,10.753
11.411,10.866,403.047,72.615,100.924,462.031,23.675,23.711,10.775,10.753,10.753
11.411,10.866,403.047,72.947,100.923,462.031,23.675,23.711,10.775,10.753,10.753
11.411,10.865,403.047,73.235,100.923,462.031,23.675,23.711,10.775,10.753,10.753
11.411,10.866,403.047,73.538,100.922,462.03,23.675,23.711,10.775,10.753,10.753
11.411,10.865,403.047,73.839,100.922,462.029,23.675,23.711,10.775,10.753,10.753
11.411,10.865,403.047,74.139,100.921,462.028,23.675,23.711,10.775,10.753,10.753
11.411,10.865,403.047,74.436,100.92,462.026,23.675,23.711,10.775,10.752,10.752
11.411,10.865,403.046,74.741,100.92,462.025,23.675,23.711,10.774,10.753,10.753
11.411,10.865,403.046,75.056,100.919,462.025,23.675,23.711,10.775,10.753,10.753
11.411,10.865,403.045,75.388,100.919,462.024,23.675,23.711,10.775,10.753,10.753
11.411,10.865,403.043,75.709,100.918,462.023,23.675,23.711,10.774,10.753,10.753
11.411,10.865,403.043,76.006,100.917,462.022,23.675,23.711,10.775,10.753,10.753
11.411,10.865,403.043,76.312,100.917,462.022,23.675,23.711,10.775,10.753,10.753
11.411,10.865,403.042,76.643,100.917,462.021,23.675,23.711,10.775,10.753,10.753
11.41,10.865,403.04,76.961,100.916,462.021,23.675,23.711,10.775,10.753,10.753
11.41,10.865,403.04,77.234,100.915,462.02,23.675,23.711,10.775,10.753,10.753
11.411,10.865,403.04,77.521,100.915,462.019,23.675,23.711,10.775,10.752,10.752
11.41,10.865,403.04,77.827,100.915,462.019,23.675,23.711,10.775,10.753,10.753
11.41,10.864,403.041,78.114,100.914,462.018,23.675,23.711,10.775,10.753,10.753
11.41,10.864,403.04,78.381,100.914,462.019,23.675,23.711,10.776,10.752,10.752
11.41,10.864,403.039,78.632,100.913,462.019,23.675,23.711,10.775,10.753,10.753
11.41,10.864,403.039,78.848,100.913,462.019,23.675,23.711,10.775,10.753,10.753
11.41,10.864,403.039,79.058,100.912,462.02,23.675,23.711,10.775,10.753,10.753
11.41,10.864,403.039,79.26,100.912,462.022,23.675,23.711,10.775,10.753,10.753
11.41,10.864,403.038,79.393,100.911,462.024,23.675,23.711,10.775,10.753,10.753
11.41,10.864,403.037,79.464,100.911,462.024,23.675,23.711,10.775,10.753,10.753
11.41,10.864,403.037,79.522,100.91,462.024,23.675,23.711,10.775,10.753,10.753
11.411,10.864,403.036,79.576,100.91,462.025,23.675,23.711,10.775,10.753,10.753
11.411,10.865,403.036,79.596,100.909,462.035,23.675,23.711,10.775,10.753,10.753
11.411,10.865,403.036,79.592,100.909,462.109,23.675,23.711,10.775,10.753,10.753
11.411,10.864,403.036,79.569,100.909,462.278,23.675,23.711,10.774,10.753,10.753
11.411,10.864,403.035,79.547,100.908,462.452,23.675,23.711,10.774,10.752,10.752
11.411,10.864,403.035,79.544,100.908,462.638,23.675,23.711,10.775,10.753,10.753
11.411,10.865,403.035,79.552,100.907,462.957,23.675,23.711,10.775,10.752,10.752
11.411,10.865,403.035,79.55,100.906,463.218,23.675,23.711,10.774,10.752,10.752
11.411,10.864,403.034,79.54,100.906,463.506,23.675,23.711,10.775,10.752,10.752
11.411,10.864,403.034,79.542,100.905,463.825,23.675,23.711,10.775,10.752,10.752
11.411,10.864,403.033,79.563,100.905,464.114,23.675,23.711,10.774,10.752,10.752
11.411,10.864,403.033,79.574,100.904,464.356,23.675,23.711,10.775,10.753,10.753
11.411,10.864,403.032,79.559,100.904,464.635,23.675,23.711,10.775,10.753,10.753
11.411,10.864,403.032,79.554,100.903,464.945,23.675,23.711,10.775,10.752,10.752
11.411,10.864,403.032,79.563,100.903,465.171,23.675,23.711,10.775,10.753,10.753
11.411,10.864,403.032,79.563,100.902,465.493,23.675,23.711,10.775,10.753,10.753
11.411,10.864,403.032,79.549,100.902,465.818,23.675,23.711,10.775,10.753,10.753
11.411,10.864,403.031,79.539,100.902,466.11,23.675,23.711,10.775,10.753,10.753
11.411,10.864,403.031,79.543,100.901,466.391,23.675,23.711,10.775,10.753,10.753
11.411,10.864,403.03,79.545,100.9,466.663,23.675,23.711,10.775,10.753,10.753
11.41,10.865,403.03,79.542,100.9,466.864,23.675,23.711,10.775,10.753,10.753
11.41,10.865,403.03,79.538,100.899,467.01,23.675,23.711,10.775,10.753,10.753
11.41,10.865,403.029,79.54,100.899,467.134,23.675,23.711,10.775,10.753,10.753
11.41,10.865,403.029,79.549,100.898,467.186,23.675,23.711,10.775,10.753,10.753
11.41,10.865,403.03,79.55,100.898,467.208,23.675,23.711,10.775,10.753,10.753
11.41,10.865,403.029,79.545,100.897,467.225,23.675,23.711,10.775,10.753,10.753
11.41,10.865,403.029,79.544,100.897,467.219,23.675,23.711,10.775,10.753,10.753
11.41,10.865,403.028,79.548,100.896,467.171,23.675,23.711,10.775,10.753,10.753
